Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,MASTEK.NS,Mastek Ltd.,Information Technology,,,5448423,70903,76.8433,16,2026-08-28
2,TEJASNET.NS,Tejas Networks Ltd.,Telecommunication,,,43154849,1012230,42.6334,16,2026-08-28
3,TTML.NS,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,,,50934461,1422123,35.8158,16,2026-08-28
4,NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology,,,10500343,705254,14.8887,16,2026-08-28
5,ALOKINDS.NS,Alok Industries Ltd.,Textiles,,,85081353,6580204,12.9299,16,2026-08-28
6,NESCO.NS,NESCO Ltd.,Services,,,219503,23013,9.5382,16,2026-08-28
7,COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,,,38501826,6245318,6.1649,16,2026-08-28
8,NAZARA.NS,Nazara Technologies Ltd.,Media Entertainment & Publication,,,8037529,1382048,5.8157,16,2026-08-28
9,JUSTDIAL.NS,Justdial Ltd.,Consumer Services,,,739937,139898,5.2891,16,2026-08-28
10,SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Capital Goods,,,2682592,511383,5.2458,16,2026-08-28
11,NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining,,,57433613,11108593,5.1702,16,2026-08-28
12,CGCL.NS,Capri Global Capital Ltd.,Financial Services,,,29677234,5785581,5.1295,16,2026-08-28
13,ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components,,,14534560,2979272,4.8786,16,2026-08-28
14,IMAGICAA.NS,Imagicaaworld Entertainment Ltd.,Consumer Services,,,14840866,3116877,4.7615,16,2026-08-28
15,KPITTECH.NS,KPIT Technologies Ltd.,Information Technology,,,5637018,1239314,4.5485,16,2026-08-28
16,IFCI.NS,IFCI Ltd.,Financial Services,,,139308927,30818669,4.5203,16,2026-08-28
17,TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,,,2653668,662842,4.0035,16,2026-08-28
18,REDINGTON.NS,Redington Ltd.,Services,,,16021263,4073522,3.933,16,2026-08-28
19,GMRP&UI.NS,GMR Power and Urban Infra Ltd.,Power,,,3306569,875020,3.7788,16,2026-08-28
20,BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components,,,755064,201936,3.7391,16,2026-08-28
21,INDGN.NS,Indegene Ltd.,Healthcare,,,1891693,530840,3.5636,16,2026-08-28
22,BSOFT.NS,Birlasoft Ltd.,Information Technology,,,3235361,921768,3.51,16,2026-08-28
23,ZENSARTECH.NS,Zensar Technolgies Ltd.,Information Technology,,,1833714,529609,3.4624,16,2026-08-28
24,LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services,,,9178463,2705684,3.3923,16,2026-08-28
25,AAVAS.NS,Aavas Financiers Ltd.,Financial Services,,,348777,106674,3.2696,16,2026-08-28
26,CAMS.NS,Computer Age Management Services Ltd.,Financial Services,,,3418563,1056295,3.2364,16,2026-08-28
27,SPARC.NS,Sun Pharma Advanced Research Company Ltd.,Healthcare,,,2164780,676751,3.1988,16,2026-08-28
28,MANINFRA.NS,Man Infraconstruction Ltd.,Construction,,,7396087,2349780,3.1476,16,2026-08-28
29,LTM.NS,LTIMindtree Ltd.,Information Technology,,,1147867,371463,3.0901,16,2026-08-28
30,INGERRAND.NS,Ingersoll Rand (India) Ltd.,Capital Goods,,,123104,41052,2.9987,16,2026-08-28
31,CONCOR.NS,Container Corporation of India Ltd.,Services,,,4310957,1472194,2.9283,16,2026-08-28
32,SAGILITY.NS,Sagility Ltd.,Information Technology,,,60731454,21168247,2.869,16,2026-08-28
33,COFORGE.NS,Coforge Ltd.,Information Technology,,,5515290,1961668,2.8115,16,2026-08-28
34,METROPOLIS.NS,Metropolis Healthcare Ltd.,Healthcare,,,687298,246047,2.7934,16,2026-08-28
35,HAVELLS.NS,Havells India Ltd.,Consumer Durables,,,1777886,639531,2.78,16,2026-08-28
36,INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services,,,3199057,1153296,2.7738,16,2026-08-28
37,YATHARTH.NS,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,,,1376296,519980,2.6468,16,2026-08-28
38,THANGAMAYL.NS,Thangamayil Jewellery Ltd.,Consumer Durables,,,280953,107472,2.6142,16,2026-08-28
39,RELIGARE.NS,Religare Enterprises Ltd.,Financial Services,,,3497560,1345262,2.5999,16,2026-08-28
40,MPHASIS.NS,MphasiS Ltd.,Information Technology,,,956613,370733,2.5803,16,2026-08-28
41,KSL.NS,Kalyani Steels Ltd.,Capital Goods,,,198548,78127,2.5413,16,2026-08-28
42,WOCKPHARMA.NS,Wockhardt Ltd.,Healthcare,,,1577660,622207,2.5356,16,2026-08-28
43,AGI.NS,AGI Greenpac Ltd.,Capital Goods,,,385904,152644,2.5281,16,2026-08-28
44,BORORENEW.NS,Borosil Renewables Ltd.,Capital Goods,,,987755,396458,2.4914,16,2026-08-28
45,CRISIL.NS,CRISIL Ltd.,Financial Services,,,105227,42899,2.4529,16,2026-08-28
46,PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,,,957595,391748,2.4444,16,2026-08-28
47,GMRAIRPORT.NS,GMR Airports Ltd.,Services,,,23294002,9827187,2.3704,16,2026-08-28
48,HCLTECH.NS,HCL Technologies Ltd.,Information Technology,,,3459383,1466767,2.3585,16,2026-08-28
49,OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,,,428145,184708,2.318,16,2026-08-28
50,OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components,,,78423367,33954075,2.3097,16,2026-08-28
51,SONATSOFTW.NS,Sonata Software Ltd.,Information Technology,,,2110500,932358,2.2636,16,2026-08-28
52,MAHSEAMLES.NS,Maharashtra Seamless Ltd.,Capital Goods,,,549959,244187,2.2522,16,2026-08-28
53,AETHER.NS,Aether Industries Ltd.,Chemicals,,,443523,197686,2.2436,16,2026-08-28
54,EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components,,,6027526,2706315,2.2272,16,2026-08-28
55,SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication,,,1054209,488384,2.1586,16,2026-08-28
56,TEXRAIL.NS,Texmaco Rail & Eng. Ltd.,Capital Goods,,,2600957,1210293,2.149,16,2026-08-28
57,CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components,,,70817,32976,2.1475,16,2026-08-28
58,ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,,,418905,195145,2.1466,16,2026-08-28
59,MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,,,2455287,1144246,2.1458,16,2026-08-28
60,WIPRO.NS,Wipro Ltd.,Information Technology,,,14679655,6872653,2.136,16,2026-08-28
61,PREMIERENE.NS,Premier Energies Ltd.,Capital Goods,,,2307383,1082137,2.1322,16,2026-08-28
62,GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components,,,501369,236475,2.1202,16,2026-08-28
63,INDIACEM.NS,India Cements Ltd.,Construction Materials,,,235653,115455,2.0411,16,2026-08-28
64,CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services,,,487975,239897,2.0341,16,2026-08-28
65,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,,,773191,383233,2.0175,16,2026-08-28
66,PTCIL.NS,PTC Industries Ltd.,Capital Goods,,,100287,50002,2.0057,16,2026-08-28
67,SAIL.NS,Steel Authority of India Ltd.,Metals & Mining,,,48546532,24870702,1.952,16,2026-08-28
68,SCI.NS,Shipping Corporation of India Ltd.,Services,,,5130031,2667950,1.9228,16,2026-08-28
69,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,,,3267967,1701460,1.9207,16,2026-08-28
70,TATACHEM.NS,Tata Chemicals Ltd.,Chemicals,,,1439034,755318,1.9052,16,2026-08-28
