Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,QUESS.NS,Quess Corp Ltd.,Services,332.55,7.38,17360234,395874,43.8529,16,2026-07-31
2,VOLTAMP.NS,Voltamp Transformers Ltd,Capital Goods,9923.0,6.68,655530,28422,23.0642,16,2026-07-31
3,ASTRAZEN.NS,AstraZenca Pharma India Ltd.,Healthcare,8100.0,0.51,136142,6383,21.3288,16,2026-07-31
4,THERMAX.NS,Thermax Ltd.,Capital Goods,4306.0,1.28,3744900,188594,19.8569,16,2026-07-31
5,CENTURYPLY.NS,Century Plyboards (India) Ltd.,Consumer Durables,799.5,0.72,764265,49046,15.5826,16,2026-07-31
6,ASTRAMICRO.NS,Astra Microwave Products Ltd.,Capital Goods,1861.6,7.86,4926672,356075,13.8361,16,2026-07-31
7,AARTIIND.NS,Aarti Industries Ltd.,Chemicals,489.1,1.85,11291944,845600,13.3538,16,2026-07-31
8,SUBROS.NS,Subros Ltd.,Capital Goods,819.25,4.59,370294,31072,11.9173,16,2026-07-31
9,STAR.NS,Strides Pharma Science Ltd.,Healthcare,1025.0,-4.01,1702438,160090,10.6343,16,2026-07-31
10,THOMASCOOK.NS,Thomas Cook (India) Ltd.,Consumer Services,104.27,4.97,6600567,639664,10.3188,16,2026-07-31
11,NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,87.01,1.27,18633773,1808274,10.3047,16,2026-07-31
12,AETHER.NS,Aether Industries Ltd.,Chemicals,1539.6,3.27,2452517,239970,10.2201,16,2026-07-31
13,THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,494.6,5.66,2200386,226198,9.7277,16,2026-07-31
14,NAZARA.NS,Nazara Technologies Ltd.,Media Entertainment & Publication,339.0,10.05,19459600,2059539,9.4485,16,2026-07-31
15,HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components,2180.7,8.05,5531326,671201,8.2409,16,2026-07-31
16,BOSCH-HCIL.NS,Bosch Home Comfort India Ltd.,Consumer Durables,1391.3,6.17,140353,17649,7.9525,16,2026-07-31
17,BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components,2473.5,7.22,3394753,441307,7.6925,16,2026-07-31
18,SHREECEM.NS,Shree Cement Ltd.,Construction Materials,26055.0,-1.51,112157,14874,7.5405,16,2026-07-31
19,APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,261.2,-5.77,5843532,803212,7.2752,16,2026-07-31
20,DODLA.NS,Dodla Dairy Ltd.,Fast Moving Consumer Goods,1040.6,-0.12,138440,19822,6.9842,16,2026-07-31
21,INDGN.NS,Indegene Ltd.,Healthcare,515.15,0.53,1142160,164161,6.9576,16,2026-07-31
22,CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare,1420.8,6.83,598363,98844,6.0536,16,2026-07-31
23,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,189.44,0.99,13711417,2282671,6.0067,16,2026-07-31
24,MANKIND.NS,Mankind Pharma Ltd.,Healthcare,2469.6,-4.13,2362243,394108,5.9939,16,2026-07-31
25,NETWEB.NS,Netweb Technologies India Ltd.,Information Technology,4524.0,7.84,4508874,774276,5.8233,16,2026-07-31
26,SAFARI.NS,Safari Industries (India) Ltd.,Consumer Durables,1559.6,-0.26,114181,20039,5.6979,16,2026-07-31
27,GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,181.44,4.49,38863632,7122022,5.4568,16,2026-07-31
28,ISGEC.NS,Isgec Heavy Engineering Ltd.,Construction,825.95,-2.39,110998,20919,5.3061,16,2026-07-31
29,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,1141.2,8.32,40811849,8268706,4.9357,16,2026-07-31
30,JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power,18.29,5.6,257903022,53747804,4.7984,16,2026-07-31
31,EMIL.NS,Electronics Mart India Ltd.,Consumer Services,130.16,0.22,5461939,1172364,4.6589,16,2026-07-31
32,INTELLECT.NS,Intellect Design Arena Ltd.,Information Technology,719.9,2.04,2151816,521592,4.1255,16,2026-07-31
33,IMFA.NS,Indian Metals & Ferro Alloys Ltd.,Metals & Mining,1448.6,5.34,345910,88174,3.923,16,2026-07-31
34,REDINGTON.NS,Redington Ltd.,Services,321.65,3.44,23652473,6039449,3.9163,16,2026-07-31
35,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,60.24,2.21,14235770,3642749,3.908,16,2026-07-31
36,GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,564.25,0.82,2864809,738871,3.8773,16,2026-07-31
37,MAHSEAMLES.NS,Maharashtra Seamless Ltd.,Capital Goods,565.35,-1.26,208948,55099,3.7922,16,2026-07-31
38,PTC.NS,PTC India Ltd.,Power,175.52,3.78,2194827,583489,3.7616,16,2026-07-31
39,SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,Capital Goods,1355.3,4.38,895776,238538,3.7553,16,2026-07-31
40,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,404.3,2.6,10947397,2980397,3.6731,16,2026-07-31
41,LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,523.1,-3.29,4185513,1144961,3.6556,16,2026-07-31
42,ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,166.18,5.12,47538056,13359202,3.5585,16,2026-07-31
43,INGERRAND.NS,Ingersoll Rand (India) Ltd.,Capital Goods,4335.6,1.35,48440,13674,3.5425,16,2026-07-31
44,PRICOLLTD.NS,Pricol Ltd.,Automobile and Auto Components,696.65,2.29,1934910,553004,3.4989,16,2026-07-31
45,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,548.5,0.57,11437779,3275475,3.4919,16,2026-07-31
46,BLUEDART.NS,Blue Dart Express Ltd.,Services,5160.3,2.67,39064,11336,3.446,16,2026-07-31
47,IFCI.NS,IFCI Ltd.,Financial Services,76.54,4.11,50436678,14773108,3.4141,16,2026-07-31
48,ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods,3086.0,2.4,336265,99602,3.3761,16,2026-07-31
49,KIRLOSBROS.NS,Kirloskar Brothers Ltd.,Capital Goods,1870.1,-0.17,281794,84152,3.3486,16,2026-07-31
50,SJVN.NS,SJVN Ltd.,Power,68.62,0.25,5490968,1662406,3.303,16,2026-07-31
51,GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods,7624.0,-1.23,58809,17957,3.275,16,2026-07-31
52,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,2029.1,6.27,3731310,1149185,3.2469,16,2026-07-31
53,KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables,1198.3,0.53,946194,296211,3.1943,16,2026-07-31
54,NIACL.NS,The New India Assurance Company Ltd.,Financial Services,173.62,4.66,2403115,761270,3.1567,16,2026-07-31
55,ZEEL.NS,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,114.55,2.09,61726352,19718748,3.1303,16,2026-07-31
56,RAYMONDLSL.NS,Raymond Lifestyle Ltd.,Textiles,710.5,-2.9,315499,101933,3.0952,16,2026-07-31
57,FIEMIND.NS,Fiem Industries Ltd,Automobile and Auto Components,2323.3,-1.85,133187,43114,3.0892,16,2026-07-31
58,SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services,4665.6,3.89,150265,49702,3.0233,16,2026-07-31
59,THANGAMAYL.NS,Thangamayil Jewellery Ltd.,Consumer Durables,5226.5,-10.0,748214,253135,2.9558,16,2026-07-31
60,MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,2381.8,2.7,1599607,546068,2.9293,16,2026-07-31
61,POWERMECH.NS,Power Mech Projects Ltd.,Construction,2566.4,-2.61,150355,52593,2.8588,16,2026-07-31
62,TBOTEK.NS,TBO Tek Ltd.,Consumer Services,1531.2,2.18,682944,243039,2.81,16,2026-07-31
63,HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods,718.7,2.77,2001444,715660,2.7966,16,2026-07-31
64,LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods,410.35,3.34,2403870,869476,2.7647,16,2026-07-31
65,DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,1552.8,1.33,1138816,413377,2.7549,16,2026-07-31
66,KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods,3804.6,5.06,3266934,1194431,2.7351,16,2026-07-31
67,RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare,1525.4,0.32,179706,66778,2.6911,16,2026-07-31
68,MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,1120.5,0.18,821296,306748,2.6774,16,2026-07-31
69,LINDEINDIA.NS,Linde India Ltd.,Chemicals,6745.0,1.63,55674,21082,2.6408,16,2026-07-31
70,ALIVUS.NS,Alivus Life Sciences Ltd.,Healthcare,1160.0,5.87,237234,90115,2.6326,16,2026-07-31
