Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,INDIACEM.NS,India Cements Ltd.,Construction Materials,351.7,5.09,1540416,95572,16.1179,16,2026-09-17
2,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,584.85,8.36,8250095,601944,13.7058,16,2026-09-17
3,TEGA.NS,Tega Industries Ltd.,Capital Goods,1920.0,11.82,3909408,297894,13.1235,16,2026-09-17
4,SYRMA.NS,Syrma SGS Technology Ltd.,Capital Goods,1617.7,7.05,9180647,957187,9.5913,16,2026-09-17
5,YATHARTH.NS,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,1072.4,9.17,3679226,479742,7.6692,16,2026-09-17
6,POLICYBZR.NS,PB Fintech Ltd.,Financial Services,1765.0,-3.4,6638966,1008565,6.5826,16,2026-09-17
7,TATACHEM.NS,Tata Chemicals Ltd.,Chemicals,779.3,6.49,14303671,2310752,6.1901,16,2026-09-17
8,PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services,1103.5,-2.69,3984908,762054,5.2292,16,2026-09-17
9,GANECOS.NS,Ganesha Ecosphere Ltd.,Textiles,990.6,-0.96,440383,86312,5.1022,16,2026-09-17
10,EMAMILTD.NS,Emami Ltd.,Fast Moving Consumer Goods,376.1,1.84,9466396,1869871,5.0626,16,2026-09-17
11,AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,310.7,4.63,6085359,1377853,4.4166,16,2026-09-17
12,SRF.NS,SRF Ltd.,Chemicals,2536.0,2.25,796869,184750,4.3132,16,2026-09-17
13,INDIAGLYCO.NS,India Glycols Ltd.,Fast Moving Consumer Goods,248.7,-6.57,924531,218914,4.2233,16,2026-09-17
14,GREENPANEL.NS,Greenpanel Industries Ltd.,Consumer Durables,158.4,3.69,1449982,360546,4.0216,16,2026-09-17
15,SHAREINDIA.NS,Share India Securities Ltd.,Financial Services,218.44,11.42,28920933,7375771,3.9211,16,2026-09-17
16,ENTERO.NS,Entero Healthcare Solutions Ltd.,Consumer Services,1666.6,-3.76,1233669,319244,3.8643,16,2026-09-17
17,RAILTEL.NS,Railtel Corporation Of India Ltd.,Telecommunication,259.25,2.73,1504909,401234,3.7507,16,2026-09-17
18,HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods,756.75,7.39,8033438,2155260,3.7274,16,2026-09-17
19,HCG.NS,Healthcare Global Enterprises Ltd.,Healthcare,687.15,1.93,514056,139528,3.6842,16,2026-09-17
20,NEOGEN.NS,NEOGEN CHEMICALS LTD.,Chemicals,2395.6,4.05,605250,167409,3.6154,16,2026-09-17
21,CCAVENUE.NS,AvenuesAI Ltd.,Financial Services,16.32,6.53,46414223,13781701,3.3678,16,2026-09-17
22,JSFB.NS,Jana Small Finance Bank Ltd.,Financial Services,520.1,2.66,1866287,596996,3.1261,16,2026-09-17
23,AFCONS.NS,Afcons Infrastructure Ltd.,Construction,267.3,3.44,8750877,2830085,3.0921,16,2026-09-17
24,SIGNATURE.NS,Signatureglobal (India) Ltd.,Realty,755.3,0.37,647904,212527,3.0486,16,2026-09-17
25,KRN.NS,KRN Heat Exchanger and Refrigeration Ltd.,Capital Goods,1392.8,-3.16,676233,229257,2.9497,16,2026-09-17
26,ORIENTCEM.NS,Orient Cement Ltd.,Construction Materials,122.09,0.37,753063,257281,2.927,16,2026-09-17
27,PNCINFRA.NS,PNC Infratech Ltd.,Construction,139.55,3.8,5631111,1934627,2.9107,16,2026-09-17
28,IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare,1970.3,1.0,555585,192675,2.8835,16,2026-09-17
29,APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare,826.0,0.08,392594,137032,2.865,16,2026-09-17
30,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,557.0,5.05,9372065,3348020,2.7993,16,2026-09-17
31,JISLJALEQS.NS,Jain Irrigation Systems Ltd.,Capital Goods,30.2,3.89,13542384,4883663,2.773,16,2026-09-17
32,JKPAPER.NS,JK Paper Ltd.,Forest Materials,418.05,0.17,1832646,663101,2.7638,16,2026-09-17
33,INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,958.2,1.24,3973490,1438296,2.7626,16,2026-09-17
34,MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,2210.0,-0.98,1559839,568008,2.7462,16,2026-09-17
35,CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels,191.72,1.53,4924218,1877304,2.623,16,2026-09-17
36,KNRCON.NS,KNR Constructions Ltd.,Construction,120.86,-0.79,4427553,1690276,2.6194,16,2026-09-17
37,TI.NS,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,543.85,3.29,1302469,524003,2.4856,16,2026-09-17
38,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,1175.0,3.07,2311919,949005,2.4362,16,2026-09-17
39,REFEX.NS,Refex Industries Ltd.,Chemicals,271.75,4.16,495142,203298,2.4355,16,2026-09-17
40,ACE.NS,Action Construction Equipment Ltd.,Capital Goods,1205.6,4.86,685441,284088,2.4128,16,2026-09-17
41,ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,82.41,0.01,1288203,535540,2.4054,16,2026-09-17
42,LXCHEM.NS,Laxmi Organic Industries Ltd.,Chemicals,179.23,4.37,2486049,1041247,2.3876,16,2026-09-17
43,CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components,3431.1,3.8,117824,51278,2.2977,16,2026-09-17
44,NIACL.NS,The New India Assurance Company Ltd.,Financial Services,197.05,6.98,34646162,15140671,2.2883,16,2026-09-17
45,ENDURANCE.NS,Endurance Technologies Ltd.,Automobile and Auto Components,2690.8,2.37,194228,86220,2.2527,16,2026-09-17
46,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services,1499.2,-0.87,250938,115178,2.1787,16,2026-09-17
47,IRCON.NS,IRCON International Ltd.,Construction,107.86,0.05,2795384,1289669,2.1675,16,2026-09-17
48,EMUDHRA.NS,eMudhra Ltd.,Information Technology,633.35,-1.39,4759241,2212368,2.1512,16,2026-09-17
49,SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,1766.9,4.06,1760498,818982,2.1496,16,2026-09-17
50,SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,777.9,1.29,3093359,1440913,2.1468,16,2026-09-17
51,MFSL.NS,Max Financial Services Ltd.,Financial Services,1554.0,4.46,958327,450972,2.125,16,2026-09-17
52,BANKINDIA.NS,Bank of India,Financial Services,138.17,0.26,9970835,4695247,2.1236,16,2026-09-17
53,BORORENEW.NS,Borosil Renewables Ltd.,Capital Goods,449.35,0.75,947594,451912,2.0969,16,2026-09-17
54,SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components,3991.0,2.36,87486,42520,2.0575,16,2026-09-17
55,ORCHPHARMA.NS,Orchid Pharma Ltd.,Healthcare,958.05,0.06,138491,68139,2.0325,16,2026-09-17
56,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services,490.5,4.36,2550434,1265602,2.0152,16,2026-09-17
57,GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods,7307.0,0.43,26121,13035,2.0039,16,2026-09-17
58,JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials,5027.0,5.83,79147,39876,1.9848,16,2026-09-17
59,KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare,791.85,3.29,1082393,545682,1.9836,16,2026-09-17
60,RELINFRA.NS,Reliance Infrastructure Ltd.,Power,51.01,-1.03,502052,253485,1.9806,16,2026-09-17
61,MAHLIFE.NS,Mahindra Lifespace Developers Ltd.,Realty,363.7,5.68,157216,80208,1.9601,16,2026-09-17
62,CSBBANK.NS,CSB Bank Ltd.,Financial Services,328.35,-0.12,1959308,1031610,1.8993,16,2026-09-17
63,TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,1013.7,1.36,1966508,1052780,1.8679,16,2026-09-17
64,KSL.NS,Kalyani Steels Ltd.,Capital Goods,970.55,1.95,309228,165854,1.8645,16,2026-09-17
65,FIEMIND.NS,Fiem Industries Ltd,Automobile and Auto Components,1900.9,-1.4,113752,62442,1.8217,16,2026-09-17
66,BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables,448.6,0.1,443455,246802,1.7968,16,2026-09-17
67,APARINDS.NS,Apar Industries Ltd.,Capital Goods,17801.0,4.25,195587,115064,1.6998,16,2026-09-17
68,ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,653.1,0.86,560510,330110,1.6979,16,2026-09-17
69,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,5348.5,3.35,231840,139694,1.6596,16,2026-09-17
70,KPIL.NS,Kalpataru Projects International Ltd.,Construction,1399.3,0.6,231335,140644,1.6448,16,2026-09-17
71,PGIL.NS,Pearl Global Industries Ltd.,Textiles,1143.1,-3.12,340482,209882,1.6223,16,2026-09-17
72,MANKIND.NS,Mankind Pharma Ltd.,Healthcare,2300.0,2.4,487855,301135,1.6201,16,2026-09-17
73,APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components,412.15,0.05,886926,565860,1.5674,16,2026-09-17
74,GRINFRA.NS,G R Infraprojects Ltd.,Construction,829.05,1.22,29483,18828,1.5659,16,2026-09-17
75,VIPIND.NS,V.I.P. Industries Ltd.,Consumer Durables,304.25,2.22,473500,304972,1.5526,16,2026-09-17
76,GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,255.5,1.83,242318,156420,1.5491,16,2026-09-17
77,CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,1349.4,3.88,1822724,1177911,1.5474,16,2026-09-17
78,TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,314.5,4.49,11897633,7702897,1.5446,16,2026-09-17
79,CHOICEIN.NS,Choice International Ltd.,Financial Services,738.0,1.7,490061,317737,1.5423,16,2026-09-17
80,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,1764.5,-0.06,1802374,1194290,1.5092,16,2026-09-17
81,COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare,439.95,1.62,1164265,777630,1.4972,16,2026-09-17
82,ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,795.3,0.47,610026,407676,1.4964,16,2026-09-17
83,KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods,2120.6,3.93,663956,444859,1.4925,16,2026-09-17
84,CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,1083.6,3.04,226913,153402,1.4792,16,2026-09-17
85,LUXIND.NS,Lux Industries Ltd.,Textiles,1042.5,0.98,29555,20218,1.4618,16,2026-09-17
86,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,3500.5,-0.24,97948,67589,1.4492,16,2026-09-17
87,GREAVESCOT.NS,Greaves Cotton Ltd.,Capital Goods,191.72,3.28,1037225,722858,1.4349,16,2026-09-17
88,SIEMENS.NS,Siemens Ltd.,Capital Goods,3763.5,0.57,373942,260836,1.4336,16,2026-09-17
89,BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,568.2,0.56,546614,383976,1.4236,16,2026-09-17
90,TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,719.3,5.48,3728662,2643957,1.4103,16,2026-09-17
91,TECHM.NS,Tech Mahindra Ltd.,Information Technology,1561.0,0.19,2729393,1943177,1.4046,16,2026-09-17
92,LODHA.NS,Lodha Developers Ltd.,Realty,1103.1,1.44,2157166,1548615,1.393,16,2026-09-17
93,TRIVENI.NS,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,232.45,-2.92,1189400,856545,1.3886,16,2026-09-17
94,DELHIVERY.NS,Delhivery Ltd.,Services,425.95,0.98,2713898,1954347,1.3886,16,2026-09-17
95,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,4875.0,1.3,411405,296993,1.3852,16,2026-09-17
96,AIAENG.NS,AIA Engineering Ltd.,Capital Goods,3983.4,4.67,69100,50409,1.3708,16,2026-09-17
97,GRWRHITECH.NS,Garware Hi-Tech Films Ltd.,Capital Goods,6502.5,1.11,78899,57580,1.3703,16,2026-09-17
98,KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods,3520.0,3.99,1241904,910512,1.364,16,2026-09-17
99,RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare,1473.4,1.11,108213,80377,1.3463,16,2026-09-17
100,VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,Healthcare,1506.1,4.71,196057,147212,1.3318,16,2026-09-17
101,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,1924.7,1.53,353865,266201,1.3293,16,2026-09-17
102,OPTIEMUS.NS,Optiemus Infracom Ltd.,Telecommunication,610.0,2.89,356025,268428,1.3263,16,2026-09-17
103,TIMETECHNO.NS,Time Technoplast Ltd.,Capital Goods,174.54,0.58,2983605,2249677,1.3262,16,2026-09-17
104,IFBIND.NS,IFB Industries Ltd.,Consumer Durables,1217.9,-1.93,39465,29759,1.3262,16,2026-09-17
105,DHANUKA.NS,Dhanuka Agritech Ltd.,Chemicals,982.25,2.12,27903,21041,1.3261,16,2026-09-17
106,GOKEX.NS,Gokaldas Exports Ltd.,Textiles,727.55,0.3,285928,215828,1.3248,16,2026-09-17
107,DYNAMATECH.NS,Dynamatic Technologies Ltd.,Capital Goods,11819.0,-2.14,22251,16836,1.3216,16,2026-09-17
108,LINDEINDIA.NS,Linde India Ltd.,Chemicals,6094.5,0.08,29616,22461,1.3186,16,2026-09-17
109,FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,886.1,1.82,1175185,892231,1.3171,16,2026-09-17
110,NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,323.75,-0.57,5216008,3961986,1.3165,16,2026-09-17
111,VMART.NS,V-Mart Retail Ltd.,Consumer Services,790.05,0.46,107687,82598,1.3037,16,2026-09-17
112,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,4982.0,-0.35,308625,237073,1.3018,16,2026-09-17
113,CIEINDIA.NS,CIE Automotive India Ltd.,Automobile and Auto Components,385.7,2.63,279916,215178,1.3009,16,2026-09-17
114,JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power,15.26,-0.97,43868121,33825176,1.2969,16,2026-09-17
115,FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Chemicals,4471.8,-1.3,184048,143162,1.2856,16,2026-09-17
116,BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,429.2,4.53,8682037,6768775,1.2827,16,2026-09-17
117,FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,332.75,-2.65,5320152,4152833,1.2811,16,2026-09-17
118,EMBDL.NS,Embassy Developments Ltd.,Realty,54.91,2.29,3706988,2902065,1.2774,16,2026-09-17
119,WELSPUNLIV.NS,Welspun Living Ltd.,Textiles,212.25,4.65,5153071,4049685,1.2725,16,2026-09-17
120,PNB.NS,Punjab National Bank,Financial Services,116.47,-0.28,15916219,12527154,1.2705,16,2026-09-17
121,NCC.NS,NCC Ltd.,Construction,135.6,0.44,2570439,2041701,1.259,16,2026-09-17
122,TCS.NS,Tata Consultancy Services Ltd.,Information Technology,2190.0,0.05,3293447,2629857,1.2523,16,2026-09-17
123,PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,1440.1,1.13,598316,478658,1.25,16,2026-09-17
124,NFL.NS,National Fertilizers Ltd.,Chemicals,66.84,0.83,555938,445210,1.2487,16,2026-09-17
125,ABB.NS,ABB India Ltd.,Capital Goods,7130.5,2.16,207121,167286,1.2381,16,2026-09-17
126,TATACOMM.NS,Tata Communications Ltd.,Telecommunication,1791.6,-0.43,310176,250809,1.2367,16,2026-09-17
127,MEDPLUS.NS,Medplus Health Services Ltd.,Consumer Services,654.0,-0.32,121830,98643,1.2351,16,2026-09-17
128,HGINFRA.NS,H.G. Infra Engineering Ltd.,Construction,460.65,-0.18,60249,48829,1.2339,16,2026-09-17
129,CYIENTDLM.NS,Cyient DLM Ltd.,Capital Goods,893.5,3.01,1059258,860393,1.2311,16,2026-09-17
130,JKIL.NS,J.Kumar Infraprojects Ltd.,Construction,475.55,-1.01,58033,47186,1.2299,16,2026-09-17
131,SAPPHIRE.NS,Sapphire Foods India Ltd.,Consumer Services,233.24,4.44,1148155,934125,1.2291,16,2026-09-17
132,HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,169.55,-0.11,2067305,1682728,1.2285,16,2026-09-17
133,MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,2770.2,-0.04,829940,681484,1.2178,16,2026-09-17
134,BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication,1481.1,0.12,82494,67834,1.2161,16,2026-09-17
135,NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,79.6,0.06,654127,538343,1.2151,16,2026-09-17
136,SARDAEN.NS,Sarda Energy and Minerals Ltd.,Metals & Mining,506.95,1.93,829352,683756,1.2129,16,2026-09-17
137,GMMPFAUDLR.NS,GMM Pfaudler Ltd.,Capital Goods,1363.4,2.13,547409,453167,1.208,16,2026-09-17
138,SBIN.NS,State Bank of India,Financial Services,988.7,-0.27,8593480,7115151,1.2078,16,2026-09-17
139,MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services,988.7,1.25,818790,680099,1.2039,16,2026-09-17
140,GSFC.NS,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,152.27,2.09,1243989,1036451,1.2002,16,2026-09-17
141,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,390.0,2.28,2783165,2324366,1.1974,16,2026-09-17
142,ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals,1181.3,0.25,277685,232058,1.1966,16,2026-09-17
143,POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,31230.0,3.41,98632,82629,1.1937,16,2026-09-17
144,AZAD.NS,Azad Engineering Ltd.,Capital Goods,2605.3,0.91,423062,355106,1.1914,16,2026-09-17
145,EUREKAFORB.NS,Eureka Forbes Ltd.,Consumer Durables,391.1,-0.77,142729,120966,1.1799,16,2026-09-17
146,IFCI.NS,IFCI Ltd.,Financial Services,77.09,2.7,176859744,150175606,1.1777,16,2026-09-17
147,LICI.NS,Life Insurance Corporation of India,Financial Services,400.0,1.14,7409405,6387482,1.16,16,2026-09-17
148,JSL.NS,Jindal Stainless Ltd.,Metals & Mining,724.45,-0.88,1286766,1110845,1.1584,16,2026-09-17
149,TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,4101.7,1.7,1025708,890228,1.1522,16,2026-09-17
150,NHPC.NS,NHPC Ltd.,Power,75.2,-0.28,11618805,10166978,1.1428,16,2026-09-17
151,USHAMART.NS,Usha Martin Ltd.,Capital Goods,495.65,3.51,1122390,986590,1.1376,16,2026-09-17
152,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,184.04,1.15,2242258,1978207,1.1335,16,2026-09-17
153,JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services,480.2,1.95,817133,722449,1.1311,16,2026-09-17
154,STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services,560.55,2.72,373792,334491,1.1175,16,2026-09-17
155,SOUTHBANK.NS,South Indian Bank Ltd.,Financial Services,45.88,1.53,9755586,8739742,1.1162,16,2026-09-17
156,ROUTE.NS,Route Mobile Ltd.,Telecommunication,492.6,2.48,175472,158527,1.1069,16,2026-09-17
