Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,RHIM.NS,RHI MAGNESITA INDIA LTD.,Capital Goods,379.2,3.04,11881393,170864,69.5371,16,2026-09-22
2,TRANSRAILL.NS,Transrail Lighting Ltd.,Capital Goods,477.15,15.2,23971383,360092,66.5702,16,2026-09-22
3,GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components,1471.4,14.04,7890789,218001,36.1961,16,2026-09-22
4,OPTIEMUS.NS,Optiemus Infracom Ltd.,Telecommunication,708.9,20.0,8044819,289647,27.7746,16,2026-09-22
5,MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology,922.0,2.39,1688922,104932,16.0954,16,2026-09-22
6,SWSOLAR.NS,Sterling and Wilson Renewable Energy Ltd.,Construction,178.42,2.97,5752318,867665,6.6297,16,2026-09-22
7,GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods,545.7,-0.21,516797,82609,6.2559,16,2026-09-22
8,SUNTV.NS,Sun TV Network Ltd.,Media Entertainment & Publication,490.1,7.11,3413786,552384,6.1801,16,2026-09-22
9,KPIGREEN.NS,KPI Green Energy Ltd.,Power,346.45,7.93,10750742,1935568,5.5543,16,2026-09-22
10,NTPCGREEN.NS,NTPC Green Energy Ltd.,Power,93.31,2.25,10826314,2046043,5.2913,16,2026-09-22
11,ORCHPHARMA.NS,Orchid Pharma Ltd.,Healthcare,1107.2,2.35,493713,95523,5.1685,16,2026-09-22
12,SANSERA.NS,Sansera Engineering Ltd.,Automobile and Auto Components,4586.5,6.74,914978,201001,4.5521,16,2026-09-22
13,PATELENG.NS,Patel Engineering Ltd.,Construction,26.85,4.27,8478695,1957204,4.332,16,2026-09-22
14,JSWINFRA.NS,JSW Infrastructure Ltd.,Services,367.6,5.15,17123163,4125037,4.151,16,2026-09-22
15,TBOTEK.NS,TBO Tek Ltd.,Consumer Services,1703.7,-0.07,596080,147718,4.0353,16,2026-09-22
16,ATUL.NS,Atul Ltd.,Chemicals,6176.5,1.49,92924,24972,3.7211,16,2026-09-22
17,GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,241.85,0.17,1511491,416035,3.6331,16,2026-09-22
18,UNIMECH.NS,Unimech Aerospace and Manufacturing Ltd.,Capital Goods,1732.5,2.01,1014112,285417,3.5531,16,2026-09-22
19,KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods,3455.0,-5.34,3021337,864797,3.4937,16,2026-09-22
20,IKS.NS,Inventurus Knowledge Solutions Ltd.,Information Technology,1869.2,4.85,486578,139706,3.4829,16,2026-09-22
21,ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,2362.2,-0.02,264226,78509,3.3656,16,2026-09-22
22,PIIND.NS,PI Industries Ltd.,Chemicals,2410.0,3.8,836738,249477,3.354,16,2026-09-22
23,ENGINERSIN.NS,Engineers India Ltd.,Construction,302.55,6.06,23535059,7031761,3.347,16,2026-09-22
24,PGHH.NS,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,7282.0,-1.94,52865,16062,3.2913,16,2026-09-22
25,GREAVESCOT.NS,Greaves Cotton Ltd.,Capital Goods,199.67,0.55,2266987,747451,3.033,16,2026-09-22
26,CONCOR.NS,Container Corporation of India Ltd.,Services,467.0,-4.12,2826107,943976,2.9938,16,2026-09-22
27,EASEMYTRIP.NS,Easy Trip Planners Ltd.,Consumer Services,5.99,3.45,42640976,14300699,2.9817,16,2026-09-22
28,LTM.NS,LTIMindtree Ltd.,Information Technology,4158.3,-2.84,995546,343782,2.8959,16,2026-09-22
29,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,1211.0,1.06,3355068,1169302,2.8693,16,2026-09-22
30,PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,404.0,1.97,14870371,5183034,2.869,16,2026-09-22
31,VENTIVE.NS,Ventive Hospitality Ltd.,Consumer Services,579.6,4.1,97386,34661,2.8097,16,2026-09-22
32,TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology,3220.0,-2.04,522882,188598,2.7725,16,2026-09-22
33,APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,242.08,2.03,3567063,1296897,2.7505,16,2026-09-22
34,CENTURYPLY.NS,Century Plyboards (India) Ltd.,Consumer Durables,695.6,-1.1,162120,59396,2.7295,16,2026-09-22
35,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,313.6,0.27,10956343,4218083,2.5975,16,2026-09-22
36,JSWCEMENT.NS,JSW Cement Ltd.,Construction Materials,116.7,0.29,3072296,1207730,2.5439,16,2026-09-22
37,TI.NS,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,574.65,-0.85,1596488,633508,2.5201,16,2026-09-22
38,TITAN.NS,Titan Company Ltd.,Consumer Durables,4928.5,1.1,1238089,494520,2.5036,16,2026-09-22
39,KITEX.NS,Kitex Garments Ltd.,Textiles,119.48,2.89,814041,327371,2.4866,16,2026-09-22
40,BLACKBUCK.NS,Blackbuck Ltd.,Services,620.35,-1.52,2054783,832557,2.468,16,2026-09-22
41,GRINFRA.NS,G R Infraprojects Ltd.,Construction,805.15,-2.39,67730,28340,2.3899,16,2026-09-22
42,EMBDL.NS,Embassy Developments Ltd.,Realty,58.43,-0.78,5809478,2534136,2.2925,16,2026-09-22
43,AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Healthcare,883.75,4.41,1400849,622697,2.2496,16,2026-09-22
44,CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,1211.3,2.75,970044,433165,2.2394,16,2026-09-22
45,AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,1424.5,-4.14,2196722,994595,2.2087,16,2026-09-22
46,BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,184.7,3.18,22267703,10221392,2.1785,16,2026-09-22
47,DYNAMATECH.NS,Dynamatic Technologies Ltd.,Capital Goods,12516.0,2.85,35973,16845,2.1355,16,2026-09-22
48,USHAMART.NS,Usha Martin Ltd.,Capital Goods,531.3,-0.49,2757840,1315946,2.0957,16,2026-09-22
