Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods,2323.9,0.43,6389848,131902,48.4439,16,2026-06-17
2,UCOBANK.NS,UCO Bank,Financial Services,28.2,7.1,157398080,4482952,35.1104,16,2026-06-17
3,IDBI.NS,IDBI Bank Ltd.,Financial Services,90.36,17.12,233240608,8354234,27.9189,16,2026-06-17
4,BRIGADE.NS,Brigade Enterprises Ltd.,Realty,565.85,4.75,7406472,415874,17.8094,16,2026-06-17
5,ANUP.NS,The Anup Engineering Ltd.,Capital Goods,2132.4,8.54,490808,37049,13.2475,16,2026-06-17
6,LLOYDSENGG.NS,Lloyds Engineering Works Ltd.,Capital Goods,87.69,9.69,169969523,13258725,12.8194,16,2026-06-17
7,IOB.NS,Indian Overseas Bank,Financial Services,35.58,4.55,30749640,3197067,9.6181,16,2026-06-17
8,KIRLPNU.NS,Kirloskar Pneumatic Company Ltd.,Capital Goods,1832.4,11.31,1026689,108715,9.4439,16,2026-06-17
9,GICRE.NS,General Insurance Corporation of India,Financial Services,353.4,-1.4,10616313,1162881,9.1293,16,2026-06-17
10,EMIL.NS,Electronics Mart India Ltd.,Consumer Services,118.47,6.07,5664557,625676,9.0535,16,2026-06-17
11,SUNDRMFAST.NS,Sundram Fasteners Ltd.,Automobile and Auto Components,857.9,0.2,396635,50407,7.8686,16,2026-06-17
12,PATELENG.NS,Patel Engineering Ltd.,Construction,30.68,6.94,32368347,4169852,7.7625,16,2026-06-17
13,APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components,429.6,3.16,6403327,955599,6.7009,16,2026-06-17
14,IONEXCHANG.NS,Ion Exchange (India) Ltd.,Utilities,376.25,3.01,2174611,327324,6.6436,16,2026-06-17
15,DCAL.NS,Dishman Carbogen Amcis Ltd.,Healthcare,167.85,-4.71,1415258,239261,5.9151,16,2026-06-17
16,BOSCH-HCIL.NS,Bosch Home Comfort India Ltd.,Consumer Durables,1279.1,-5.1,69904,12113,5.771,16,2026-06-17
17,LLOYDSENT.NS,Lloyds Enterprises Ltd.,Metals & Mining,75.61,6.58,15733776,2800009,5.6192,16,2026-06-17
18,LMW.NS,LMW Ltd.,Capital Goods,16410.0,3.88,14874,2653,5.6065,16,2026-06-17
19,CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services,2614.9,9.69,8311432,1518332,5.4741,16,2026-06-17
20,CENTRALBK.NS,Central Bank of India,Financial Services,33.87,5.84,79812180,15481347,5.1554,16,2026-06-17
21,TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,360.95,-8.3,51974872,10293035,5.0495,16,2026-06-17
22,TRENT.NS,Trent Ltd.,Consumer Services,3102.8,7.07,5644595,1127133,5.0079,16,2026-06-17
23,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,559.25,4.33,1633066,349381,4.6742,16,2026-06-17
24,RATNAMANI.NS,Ratnamani Metals & Tubes Ltd.,Capital Goods,2602.2,0.13,103708,22292,4.6523,16,2026-06-17
25,GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,2818.4,5.83,2605618,642931,4.0527,16,2026-06-17
26,IIFLCAPS.NS,IIFL Capital Services Ltd.,Financial Services,346.2,0.96,2513955,661288,3.8016,16,2026-06-17
27,DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables,12833.0,4.89,1686216,444356,3.7947,16,2026-06-17
28,LUXIND.NS,Lux Industries Ltd.,Textiles,1242.2,-4.07,192853,52442,3.6775,16,2026-06-17
29,MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology,889.7,0.94,958330,279678,3.4265,16,2026-06-17
30,TEAMLEASE.NS,Teamlease Services Ltd.,Services,1433.2,1.6,56284,16549,3.4011,16,2026-06-17
31,FINPIPE.NS,Finolex Industries Ltd.,Capital Goods,173.06,1.39,9188353,2703049,3.3993,16,2026-06-17
32,VMART.NS,V-Mart Retail Ltd.,Consumer Services,763.95,4.38,610230,181283,3.3662,16,2026-06-17
33,SONATSOFTW.NS,Sonata Software Ltd.,Information Technology,305.6,-1.82,11606034,3539995,3.2785,16,2026-06-17
34,GATEWAY.NS,Gateway Distriparks Ltd.,Services,60.11,2.28,1970980,619653,3.1808,16,2026-06-17
35,GRAVITA.NS,Gravita India Ltd.,Metals & Mining,1668.9,0.3,407920,128966,3.163,16,2026-06-17
36,RCF.NS,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,135.12,2.27,5539828,1783855,3.1055,16,2026-06-17
37,PARAS.NS,Paras Defence and Space Technologies Ltd.,Capital Goods,1285.65,18.02,14158759,4562305,3.1034,16,2026-06-17
38,YESBANK.NS,Yes Bank Ltd.,Financial Services,25.11,5.11,394246852,127891431,3.0827,16,2026-06-17
39,BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,1695.6,4.58,1266695,411196,3.0805,16,2026-06-17
40,JUSTDIAL.NS,Justdial Ltd.,Consumer Services,551.25,1.37,296881,97904,3.0324,16,2026-06-17
41,PNCINFRA.NS,PNC Infratech Ltd.,Construction,213.14,2.9,1309813,432268,3.0301,16,2026-06-17
42,AGI.NS,AGI Greenpac Ltd.,Capital Goods,727.05,3.56,609657,202223,3.0148,16,2026-06-17
43,ACE.NS,Action Construction Equipment Ltd.,Capital Goods,962.1,3.4,862630,286685,3.009,16,2026-06-17
44,EDELWEISS.NS,Edelweiss Financial Services Ltd.,Financial Services,120.43,-0.1,11053936,3676785,3.0064,16,2026-06-17
45,KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables,1155.9,1.47,518855,179556,2.8897,16,2026-06-17
46,JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials,5440.0,2.37,213809,76076,2.8105,16,2026-06-17
47,AZAD.NS,Azad Engineering Ltd.,Capital Goods,2163.8,1.52,1193081,427363,2.7917,16,2026-06-17
48,TSFINV.NS,TSF Investments Ltd.,Financial Services,399.2,-0.14,243368,88110,2.7621,16,2026-06-17
49,PURVA.NS,Puravankara Ltd.,Realty,217.15,1.12,324096,118655,2.7314,16,2026-06-17
50,CYIENT.NS,Cyient Ltd.,Information Technology,876.15,-3.47,1531487,569830,2.6876,16,2026-06-17
51,KFINTECH.NS,Kfin Technologies Ltd.,Financial Services,898.45,4.26,2368837,885168,2.6761,16,2026-06-17
52,COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods,1500.2,4.79,2340030,876149,2.6708,16,2026-06-17
53,NIACL.NS,The New India Assurance Company Ltd.,Financial Services,165.46,2.29,2001875,757260,2.6436,16,2026-06-17
54,ARVINDFASN.NS,Arvind Fashions Ltd.,Consumer Services,484.3,2.62,377126,144452,2.6107,16,2026-06-17
55,CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,1130.3,6.08,543206,210929,2.5753,16,2026-06-17
56,ENGINERSIN.NS,Engineers India Ltd.,Construction,243.19,4.71,6859175,2696930,2.5433,16,2026-06-17
57,POLYCAB.NS,Polycab India Ltd.,Capital Goods,9926.5,3.49,591834,238527,2.4812,16,2026-06-17
58,IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services,100.44,2.88,19838939,8024292,2.4724,16,2026-06-17
59,INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services,2090.0,0.28,152535,63199,2.4136,16,2026-06-17
60,IGL.NS,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,170.78,1.2,6054948,2522936,2.4,16,2026-06-17
61,GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods,713.2,5.0,294379,124278,2.3687,16,2026-06-17
62,NEOGEN.NS,NEOGEN CHEMICALS LTD.,Chemicals,1933.7,-7.12,300674,127576,2.3568,16,2026-06-17
