Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
564,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,1824.1,0.55,5832297,11832590,0.4929,16,2026-06-03
565,JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining,1211.3,0.66,488988,994953,0.4915,16,2026-06-03
566,APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare,723.55,-0.27,68595,139838,0.4905,16,2026-06-03
567,TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,3070.2,-1.3,194829,397497,0.4901,16,2026-06-03
568,GATEWAY.NS,Gateway Distriparks Ltd.,Services,55.94,0.56,245539,500999,0.4901,16,2026-06-03
569,PRSMJOHNSN.NS,Prism Johnson Ltd.,Construction Materials,118.81,-2.04,396585,809495,0.4899,16,2026-06-03
570,HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining,545.4,-0.15,3349281,6847490,0.4891,16,2026-06-03
571,TIPSMUSIC.NS,Tips Music Ltd.,Media Entertainment & Publication,659.85,-1.85,116360,237935,0.489,16,2026-06-03
572,PCJEWELLER.NS,PC Jeweller Ltd.,Consumer Durables,9.11,-1.62,33067849,67816453,0.4876,16,2026-06-03
573,KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare,737.45,-1.2,188947,388764,0.486,16,2026-06-03
574,TARIL.NS,Transformers And Rectifiers (India) Ltd.,Capital Goods,311.75,-0.19,975300,2008582,0.4856,16,2026-06-03
575,MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,1080.8,-1.04,106791,220454,0.4844,16,2026-06-03
576,ADANIPOWER.NS,Adani Power Ltd.,Power,232.52,-1.45,22591163,46809237,0.4826,16,2026-06-03
577,AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,540.45,1.73,148631,308358,0.482,16,2026-06-03
578,SAFARI.NS,Safari Industries (India) Ltd.,Consumer Durables,1573.8,-3.39,87108,181285,0.4805,16,2026-06-03
579,TEAMLEASE.NS,Teamlease Services Ltd.,Services,1377.3,-0.32,18570,38663,0.4803,16,2026-06-03
580,IGL.NS,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,161.48,0.39,2594805,5404511,0.4801,16,2026-06-03
581,GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,2608.2,-0.26,528255,1105665,0.4778,16,2026-06-03
582,JSFB.NS,Jana Small Finance Bank Ltd.,Financial Services,483.75,-1.43,491056,1028550,0.4774,16,2026-06-03
583,ZYDUSWELL.NS,Zydus Wellness Ltd.,Fast Moving Consumer Goods,502.65,0.97,186182,391878,0.4751,16,2026-06-03
