Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,SUBROS.NS,Subros Ltd.,Capital Goods,856.0,14.52,8776852,39161,224.1223,16,2026-06-22
2,KSCL.NS,Kaveri Seed Company Ltd.,Fast Moving Consumer Goods,944.2,11.15,6565054,67732,96.9269,16,2026-06-22
3,CLEAN.NS,Clean Science and Technology Ltd.,Chemicals,821.1,4.98,5321082,161802,32.8864,16,2026-06-22
4,KIRLOSBROS.NS,Kirloskar Brothers Ltd.,Capital Goods,2073.3,7.22,3531576,134718,26.2146,16,2026-06-22
5,EIEL.NS,Enviro Infra Engineers Ltd.,Utilities,224.91,9.25,22484007,1216946,18.4758,16,2026-06-22
6,SWANCORP.NS,Swan Corp Ltd.,Chemicals,326.7,2.66,6736145,722597,9.3221,16,2026-06-22
7,RBA.NS,Restaurant Brands Asia Ltd.,Consumer Services,79.68,8.16,68722103,8045853,8.5413,16,2026-06-22
8,TIMKEN.NS,Timken India Ltd.,Capital Goods,3761.0,1.94,404069,49373,8.184,16,2026-06-22
9,TRITURBINE.NS,Triveni Turbine Ltd.,Capital Goods,737.3,9.67,5383692,711185,7.57,16,2026-06-22
10,KIRLPNU.NS,Kirloskar Pneumatic Company Ltd.,Capital Goods,2091.5,7.26,1689413,225936,7.4774,16,2026-06-22
11,GREAVESCOT.NS,Greaves Cotton Ltd.,Capital Goods,212.55,7.06,11340233,1525291,7.4348,16,2026-06-22
12,NIACL.NS,The New India Assurance Company Ltd.,Financial Services,212.11,4.84,80906207,14529238,5.5685,16,2026-06-22
13,DELHIVERY.NS,Delhivery Ltd.,Services,483.8,4.92,12505943,2252227,5.5527,16,2026-06-22
14,IMAGICAA.NS,Imagicaaworld Entertainment Ltd.,Consumer Services,47.99,7.77,3899670,713409,5.4662,16,2026-06-22
15,KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods,2389.8,20.0,1794364,333270,5.3841,16,2026-06-22
16,IONEXCHANG.NS,Ion Exchange (India) Ltd.,Utilities,390.85,5.52,2453896,470899,5.2111,16,2026-06-22
17,BBL.NS,Bharat Bijlee Ltd.,Capital Goods,2899.5,3.49,125934,24692,5.1002,16,2026-06-22
18,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,581.5,2.44,2466238,486611,5.0682,16,2026-06-22
19,LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services,118.75,5.05,16988707,3434013,4.9472,16,2026-06-22
20,SUMICHEM.NS,Sumitomo Chemical India Ltd.,Chemicals,438.9,-3.05,1029095,208506,4.9356,16,2026-06-22
21,BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals,4178.6,-2.13,149656,31951,4.6839,16,2026-06-22
22,RELINFRA.NS,Reliance Infrastructure Ltd.,Power,77.48,-4.99,2073843,442971,4.6817,16,2026-06-22
23,POWERMECH.NS,Power Mech Projects Ltd.,Construction,2895.3,1.95,744816,160820,4.6314,16,2026-06-22
24,HIKAL.NS,Hikal Ltd.,Healthcare,218.56,6.73,1277586,276621,4.6185,16,2026-06-22
25,SAMHI.NS,Samhi Hotels Ltd.,Consumer Services,179.09,1.87,3621536,785542,4.6102,16,2026-06-22
26,BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication,1505.1,0.71,546044,120718,4.5233,16,2026-06-22
27,BASF.NS,BASF India Ltd.,Chemicals,3572.9,1.98,69130,15341,4.5062,16,2026-06-22
28,ETHOSLTD.NS,Ethos Ltd.,Consumer Durables,2452.0,2.99,51435,11927,4.3125,16,2026-06-22
29,ZYDUSWELL.NS,Zydus Wellness Ltd.,Fast Moving Consumer Goods,536.55,4.72,1363456,318864,4.276,16,2026-06-22
30,PGIL.NS,Pearl Global Industries Ltd.,Textiles,1878.6,4.74,291191,69348,4.199,16,2026-06-22
31,TATACOMM.NS,Tata Communications Ltd.,Telecommunication,2061.7,3.67,2749962,676279,4.0663,16,2026-06-22
32,BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,1589.3,3.36,147679,38643,3.8216,16,2026-06-22
33,AAVAS.NS,Aavas Financiers Ltd.,Financial Services,1466.6,-0.36,815540,225446,3.6175,16,2026-06-22
34,TEXRAIL.NS,Texmaco Rail & Eng. Ltd.,Capital Goods,113.41,3.77,7269080,2064760,3.5205,16,2026-06-22
35,TSFINV.NS,TSF Investments Ltd.,Financial Services,399.3,0.99,340748,97082,3.5099,16,2026-06-22
36,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,391.95,4.27,11010124,3138697,3.5079,16,2026-06-22
37,NCC.NS,NCC Ltd.,Construction,159.55,2.38,6812931,2070252,3.2909,16,2026-06-22
38,WAAREERTL.NS,Waaree Renewable Technologies Ltd.,Capital Goods,1005.1,1.73,575224,175984,3.2686,16,2026-06-22
39,ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services,176.58,3.31,13095648,4031760,3.2481,16,2026-06-22
40,CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components,9522.0,-2.9,305258,94506,3.23,16,2026-06-22
