Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,HERITGFOOD.NS,Heritage Foods Ltd.,Fast Moving Consumer Goods,378.75,7.08,4729080,244428,19.3475,16,2026-09-02
2,IFCI.NS,IFCI Ltd.,Financial Services,98.32,12.67,428006087,42619953,10.0424,16,2026-09-02
3,NIACL.NS,The New India Assurance Company Ltd.,Financial Services,199.11,7.18,24333313,3074059,7.9157,16,2026-09-02
4,JYOTHYLAB.NS,Jyothy Labs Ltd.,Fast Moving Consumer Goods,202.09,-1.33,8133043,1273756,6.3851,16,2026-09-02
5,SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,1587.0,4.54,2747126,501153,5.4816,16,2026-09-02
6,AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,286.3,6.0,3126551,572782,5.4585,16,2026-09-02
7,ALOKINDS.NS,Alok Industries Ltd.,Textiles,7.73,0.52,117255830,21550016,5.4411,16,2026-09-02
8,NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services,1841.0,3.14,1438167,271026,5.3064,16,2026-09-02
9,TORNTPOWER.NS,Torrent Power Ltd.,Power,1248.9,2.43,1312898,251716,5.2158,16,2026-09-02
10,POLYMED.NS,Poly Medicure Ltd.,Healthcare,1783.8,1.56,744104,146169,5.0907,16,2026-09-02
11,UTIAMC.NS,UTI Asset Management Company Ltd.,Financial Services,877.0,-0.28,415847,84271,4.9346,16,2026-09-02
12,COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,417.85,4.05,34128070,8374788,4.0751,16,2026-09-02
13,UJJIVANSFB.NS,Ujjivan Small Finance Bank Ltd.,Financial Services,63.64,-2.63,49428614,13156090,3.7571,16,2026-09-02
14,CLEAN.NS,Clean Science and Technology Ltd.,Chemicals,863.15,4.36,1112247,309258,3.5965,16,2026-09-02
15,KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables,1261.1,2.61,725692,211082,3.438,16,2026-09-02
16,HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components,5300.0,-4.59,1746616,522061,3.3456,16,2026-09-02
17,ALIVUS.NS,Alivus Life Sciences Ltd.,Healthcare,1417.9,-1.79,561463,169774,3.3071,16,2026-09-02
18,AFFLE.NS,Affle 3i Ltd.,Information Technology,1517.9,-3.02,443261,139518,3.1771,16,2026-09-02
19,INDIGO.NS,InterGlobe Aviation Ltd.,Services,5020.0,-0.63,1437791,456593,3.149,16,2026-09-02
20,EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components,7711.5,-3.24,1117429,357094,3.1292,16,2026-09-02
21,SPARC.NS,Sun Pharma Advanced Research Company Ltd.,Healthcare,199.58,1.32,2404894,795462,3.0233,16,2026-09-02
22,SUPRIYA.NS,Supriya Lifescience Ltd.,Healthcare,841.2,4.74,960423,326089,2.9453,16,2026-09-02
23,USHAMART.NS,Usha Martin Ltd.,Capital Goods,501.6,0.4,1857599,633059,2.9343,16,2026-09-02
24,NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials,328.15,1.64,697182,241461,2.8873,16,2026-09-02
25,BEML.NS,BEML Ltd.,Capital Goods,2032.4,3.16,966073,337056,2.8662,16,2026-09-02
26,IXIGO.NS,Le Travenues Technology Ltd.,Consumer Services,156.42,-1.36,2141147,750766,2.8519,16,2026-09-02
27,IRB.NS,IRB Infrastructure Developers Ltd.,Construction,19.18,-0.88,28943500,10337248,2.7999,16,2026-09-02
28,RRKABEL.NS,R R Kabel Ltd.,Capital Goods,2630.4,-8.34,1150017,414337,2.7756,16,2026-09-02
29,INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,978.0,-1.47,2672970,1034275,2.5844,16,2026-09-02
30,BLUEDART.NS,Blue Dart Express Ltd.,Services,5017.5,-1.71,23531,9134,2.5762,16,2026-09-02
