Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,KSCL.NS,Kaveri Seed Company Ltd.,Fast Moving Consumer Goods,783.85,10.29,19331957,51014,378.954,16,2026-09-24
2,HGINFRA.NS,H.G. Infra Engineering Ltd.,Construction,468.05,3.85,13067936,53968,242.1423,16,2026-09-24
3,MFSL.NS,Max Financial Services Ltd.,Financial Services,1410.0,-9.78,11421538,548665,20.817,16,2026-09-24
4,POLICYBZR.NS,PB Fintech Ltd.,Financial Services,1207.2,-36.0,27217584,1377735,19.7553,16,2026-09-24
5,GREAVESCOT.NS,Greaves Cotton Ltd.,Capital Goods,221.83,7.68,15909049,925829,17.1836,16,2026-09-24
6,INDIAGLYCO.NS,India Glycols Ltd.,Fast Moving Consumer Goods,306.0,18.74,4840415,346091,13.986,16,2026-09-24
7,LTF.NS,L&T Finance Ltd.,Financial Services,282.0,-9.03,36068873,3094025,11.6576,16,2026-09-24
8,ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,712.15,8.49,6588934,571647,11.5262,16,2026-09-24
9,CELLO.NS,Cello World Ltd.,Consumer Durables,339.8,4.84,2264514,215941,10.4867,16,2026-09-24
10,VTL.NS,Vardhman Textiles Ltd.,Textiles,563.6,0.38,2304090,228419,10.0871,16,2026-09-24
11,MAXESTATES.NS,Max Estates Ltd.,Realty,616.8,2.25,1371283,139334,9.8417,16,2026-09-24
12,SANOFI.NS,Sanofi India Ltd.,Healthcare,3132.7,2.63,112810,12429,9.0764,16,2026-09-24
13,GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,250.3,2.16,4077267,515382,7.9112,16,2026-09-24
14,SUNFLAG.NS,Sunflag Iron & Steel Company Ltd.,Capital Goods,396.8,1.6,1545061,196365,7.8683,16,2026-09-24
15,WHIRLPOOL.NS,Whirlpool of India Ltd.,Consumer Durables,853.45,-1.36,7497000,999814,7.4984,16,2026-09-24
16,CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,1296.5,2.53,3529157,502363,7.0251,16,2026-09-24
17,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services,464.5,-4.13,7762927,1171534,6.6263,16,2026-09-24
18,CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare,2867.4,2.63,1241310,189000,6.5678,16,2026-09-24
19,ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods,2822.9,0.93,321119,49309,6.5124,16,2026-09-24
20,SOUTHBANK.NS,South Indian Bank Ltd.,Financial Services,49.9,5.99,57680371,9212884,6.2608,16,2026-09-24
21,JAMNAAUTO.NS,Jamna Auto Industries Ltd.,Automobile and Auto Components,138.39,6.82,14202722,2315432,6.1339,16,2026-09-24
22,AIAENG.NS,AIA Engineering Ltd.,Capital Goods,3953.4,-0.42,311377,56226,5.538,16,2026-09-24
23,OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components,42.52,1.55,376016295,73288253,5.1306,16,2026-09-24
24,FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,179.63,-0.43,31260130,6896051,4.533,16,2026-09-24
