Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,RELINFRA.NS,Reliance Infrastructure Ltd.,Power,63.19,-4.89,2331877,89856,25.9513,16,2026-07-20
2,IOB.NS,Indian Overseas Bank,Financial Services,35.0,3.4,30722874,2519013,12.1964,16,2026-07-20
3,STYRENIX.NS,Styrenix Performance Materials Ltd.,Chemicals,2365.1,5.8,219763,19451,11.2983,16,2026-07-20
4,TIPSMUSIC.NS,Tips Music Ltd.,Media Entertainment & Publication,710.55,6.21,3348390,330314,10.137,16,2026-07-20
5,BECTORFOOD.NS,Mrs. Bectors Food Specialities Ltd.,Fast Moving Consumer Goods,210.08,11.37,85270278,8962220,9.5144,16,2026-07-20
6,GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components,1398.0,4.59,3714705,467392,7.9477,16,2026-07-20
7,PNB.NS,Punjab National Bank,Financial Services,111.76,5.66,118981267,16308495,7.2957,16,2026-07-20
8,INDIACEM.NS,India Cements Ltd.,Construction Materials,392.5,-4.34,1559687,280085,5.5686,16,2026-07-20
9,GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods,620.15,-4.84,344186,65570,5.2491,16,2026-07-20
10,SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Capital Goods,1055.0,3.18,2630334,560514,4.6927,16,2026-07-20
11,RALLIS.NS,Rallis India Ltd.,Chemicals,239.87,2.53,3267998,795537,4.1079,16,2026-07-20
12,AXISBANK.NS,Axis Bank Ltd.,Financial Services,1256.0,-5.46,25310490,6255434,4.0462,16,2026-07-20
13,LXCHEM.NS,Laxmi Organic Industries Ltd.,Chemicals,176.55,2.79,4276971,1087403,3.9332,16,2026-07-20
14,SAREGAMA.NS,Saregama India Ltd,Media Entertainment & Publication,514.15,3.9,2402536,619926,3.8755,16,2026-07-20
15,WESTLIFE.NS,Westlife Foodworld Ltd.,Consumer Services,450.1,-1.96,197309,51192,3.8543,16,2026-07-20
16,JSFB.NS,Jana Small Finance Bank Ltd.,Financial Services,531.6,7.83,4230040,1102006,3.8385,16,2026-07-20
17,ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods,2981.4,1.51,352325,96074,3.6672,16,2026-07-20
18,STARCEMENT.NS,Star Cement Ltd.,Construction Materials,208.95,1.7,636717,176336,3.6108,16,2026-07-20
19,POONAWALLA.NS,Poonawalla Fincorp Ltd.,Financial Services,467.25,-2.11,5958632,1655165,3.6,16,2026-07-20
20,RELAXO.NS,Relaxo Footwears Ltd.,Consumer Durables,437.05,-0.66,11057860,3072518,3.599,16,2026-07-20
21,THYROCARE.NS,Thyrocare Technologies Ltd.,Healthcare,555.5,6.7,1184700,332606,3.5619,16,2026-07-20
22,BATAINDIA.NS,Bata India Ltd.,Consumer Durables,700.5,1.02,807144,241197,3.3464,16,2026-07-20
23,SHRIPISTON.NS,Shriram Pistons & Rings Ltd.,Automobile and Auto Components,4233.8,1.65,173965,53606,3.2453,16,2026-07-20
24,GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,280.9,-0.35,2131594,710272,3.0011,16,2026-07-20
25,PCBL.NS,PCBL Chemical Ltd.,Chemicals,325.55,1.48,3034881,1026984,2.9551,16,2026-07-20
26,LLOYDSENT.NS,Lloyds Enterprises Ltd.,Metals & Mining,82.23,5.56,17344156,6247686,2.7761,16,2026-07-20
27,KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services,301.0,-2.84,7928916,2867108,2.7655,16,2026-07-20
28,ACI.NS,Archean Chemical Industries Ltd.,Chemicals,566.9,3.0,706302,256682,2.7517,16,2026-07-20
29,CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components,9393.5,3.17,125340,46210,2.7124,16,2026-07-20
30,GRINFRA.NS,G R Infraprojects Ltd.,Construction,922.65,3.47,42883,16019,2.677,16,2026-07-20
31,OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,453.55,4.18,9433164,3559968,2.6498,16,2026-07-20
32,COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,2113.1,3.46,726060,277884,2.6128,16,2026-07-20
33,RELIGARE.NS,Religare Enterprises Ltd.,Financial Services,257.0,0.27,1782024,690566,2.5805,16,2026-07-20
34,SANSERA.NS,Sansera Engineering Ltd.,Automobile and Auto Components,3335.2,3.62,544822,212738,2.561,16,2026-07-20
35,PGIL.NS,Pearl Global Industries Ltd.,Textiles,2094.7,2.62,196029,78455,2.4986,16,2026-07-20
36,ECLERX.NS,eClerx Services Ltd.,Services,1877.5,-5.17,1618342,670459,2.4138,16,2026-07-20
37,ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,11903.0,1.5,455962,214049,2.1302,16,2026-07-20
38,CLEAN.NS,Clean Science and Technology Ltd.,Chemicals,729.8,-1.96,447007,209864,2.13,16,2026-07-20
39,MANYAVAR.NS,Vedant Fashions Ltd.,Consumer Services,413.95,3.69,363096,171771,2.1138,16,2026-07-20
40,NAVINFLUOR.NS,Navin Fluorine International Ltd.,Chemicals,7861.5,3.73,228980,110047,2.0807,16,2026-07-20
41,PREMIERENE.NS,Premier Energies Ltd.,Capital Goods,1086.4,0.02,2525822,1272509,1.9849,16,2026-07-20
