Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,MANORAMA.NS,Manorama Industries Ltd.,Fast Moving Consumer Goods,1737.1,7.62,7298122,131792,55.3761,16,2026-08-14
2,WELSPUNLIV.NS,Welspun Living Ltd.,Textiles,164.06,2.65,73536876,1583588,46.4369,16,2026-08-14
3,INDIGOPNTS.NS,Indigo Paints Ltd.,Consumer Durables,1148.7,1.62,2405525,53647,44.8399,16,2026-08-14
4,HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods,502.8,4.87,22422844,920981,24.3467,16,2026-08-14
5,ELGIEQUIP.NS,Elgi Equipments Ltd.,Capital Goods,609.5,5.72,6006749,253370,23.7074,16,2026-08-14
6,KRBL.NS,KRBL Ltd.,Fast Moving Consumer Goods,386.4,3.76,4140479,286824,14.4356,16,2026-08-14
7,BALUFORGE.NS,Balu Forge Industries Ltd.,Capital Goods,493.75,10.64,8980138,640369,14.0234,16,2026-08-14
8,SUDARSCHEM.NS,Sudarshan Chemical Industries Ltd.,Chemicals,1118.1,6.2,3806011,299983,12.6874,16,2026-08-14
9,INGERRAND.NS,Ingersoll Rand (India) Ltd.,Capital Goods,4608.7,7.37,127789,10713,11.9284,16,2026-08-14
10,MINDACORP.NS,Minda Corporation Ltd.,Automobile and Auto Components,720.05,1.24,4747138,500827,9.4786,16,2026-08-14
11,FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,206.09,-3.76,4051856,452965,8.9452,16,2026-08-14
12,NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare,903.15,-5.1,2493926,308745,8.0776,16,2026-08-14
13,GUJGASLTD.NS,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,284.4,3.66,9580453,1189348,8.0552,16,2026-08-13
14,BDL.NS,Bharat Dynamics Ltd.,Capital Goods,1398.0,1.64,8455625,1069119,7.909,16,2026-08-14
15,PRAJIND.NS,Praj Industries Ltd.,Capital Goods,335.25,4.26,6283829,796663,7.8877,16,2026-08-14
16,3MINDIA.NS,3M India Ltd.,Diversified,35340.0,-2.28,20811,3170,6.565,16,2026-08-14
17,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,5368.0,-1.5,635547,98529,6.4504,16,2026-08-14
18,SUPRIYA.NS,Supriya Lifescience Ltd.,Healthcare,791.65,-2.69,1697781,280189,6.0594,16,2026-08-14
19,FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals,807.7,-1.37,385095,66958,5.7513,16,2026-08-14
20,GODREJAGRO.NS,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,580.5,3.26,814744,147029,5.5414,16,2026-08-14
21,MFSL.NS,Max Financial Services Ltd.,Financial Services,1538.1,1.7,3968060,752171,5.2755,16,2026-08-14
22,CESC.NS,CESC Ltd.,Power,167.83,1.82,5556234,1054528,5.2689,16,2026-08-14
23,MSTCLTD.NS,MSTC Ltd.,Services,623.4,7.35,831603,163404,5.0892,16,2026-08-14
24,HAPPSTMNDS.NS,Happiest Minds Technologies Ltd.,Information Technology,420.2,6.43,6694935,1426291,4.6939,16,2026-08-14
25,GPPL.NS,Gujarat Pipavav Port Ltd.,Services,158.68,4.57,7339007,1572521,4.667,16,2026-08-14
26,KRN.NS,KRN Heat Exchanger and Refrigeration Ltd.,Capital Goods,1468.3,5.0,407575,87668,4.6491,16,2026-08-14
27,PAGEIND.NS,Page Industries Ltd.,Textiles,36750.0,0.63,119067,25614,4.6485,16,2026-08-14
28,AJAXENGG.NS,Ajax Engineering Ltd.,Capital Goods,582.2,2.96,292385,63423,4.6101,16,2026-08-14
29,CERA.NS,Cera Sanitaryware Ltd,Consumer Durables,5872.0,-0.23,56945,12446,4.5754,16,2026-08-14
30,VOLTAS.NS,Voltas Ltd.,Consumer Durables,1320.5,2.4,2374157,533400,4.451,16,2026-08-14
31,SOLARINDS.NS,Solar Industries India Ltd.,Chemicals,19969.0,-1.75,487300,113231,4.3036,16,2026-08-14
32,MARKSANS.NS,Marksans Pharma Ltd.,Healthcare,333.0,9.76,20226554,4796951,4.2165,16,2026-08-14
33,NAVA.NS,Nava Ltd.,Power,572.65,-1.46,1150745,279948,4.1106,16,2026-08-14
34,TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,334.5,-4.32,31923421,7938088,4.0216,16,2026-08-14
35,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,1616.0,2.08,7046749,1781003,3.9566,16,2026-08-14
36,SAMMAANCAP.NS,Sammaan Capital Ltd.,Financial Services,152.39,-5.83,22662488,5796444,3.9097,16,2026-08-14
37,ENGINERSIN.NS,Engineers India Ltd.,Construction,243.68,1.29,7323054,2022069,3.6216,16,2026-08-14
38,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,8920.5,3.85,1275716,353863,3.6051,16,2026-08-14
39,ZEEL.NS,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,102.28,5.72,111234635,31604596,3.5196,16,2026-08-14
40,TARIL.NS,Transformers And Rectifiers (India) Ltd.,Capital Goods,298.05,2.07,3460454,998283,3.4664,16,2026-08-14
41,ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components,939.2,4.24,643726,191635,3.3591,16,2026-08-14
42,JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services,504.1,2.55,12893002,3855275,3.3442,16,2026-08-14
43,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services,1597.2,0.79,730857,222005,3.2921,16,2026-08-14
44,PETRONET.NS,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,282.6,1.18,4682250,1435735,3.2612,16,2026-08-14
45,BATAINDIA.NS,Bata India Ltd.,Consumer Durables,755.7,3.85,2119678,658955,3.2167,16,2026-08-14
46,TRIVENI.NS,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,266.42,6.64,2420805,775216,3.1227,16,2026-08-14
47,NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining,44.5,-1.74,10068207,3233989,3.1132,16,2026-08-14
48,OLECTRA.NS,Olectra Greentech Ltd.,Automobile and Auto Components,1316.9,-5.5,896868,291224,3.0797,16,2026-08-14
49,ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals,1209.4,0.42,579554,193797,2.9905,16,2026-08-14
50,PARAS.NS,Paras Defence and Space Technologies Ltd.,Capital Goods,1377.5,2.63,2825939,950416,2.9734,16,2026-08-14
51,KNRCON.NS,KNR Constructions Ltd.,Construction,132.43,-1.6,3965228,1374391,2.8851,16,2026-08-14
52,AWFIS.NS,Awfis Space Solutions Ltd.,Services,266.55,-2.0,639647,224410,2.8503,16,2026-08-14
53,SWANCORP.NS,Swan Corp Ltd.,Chemicals,304.6,-1.23,2166662,761917,2.8437,16,2026-08-14
54,SCHAEFFLER.NS,Schaeffler India Ltd.,Automobile and Auto Components,4043.2,-1.65,170338,62843,2.7105,16,2026-08-14
55,AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables,7222.0,0.66,749384,280147,2.675,16,2026-08-14
56,UNIMECH.NS,Unimech Aerospace and Manufacturing Ltd.,Capital Goods,1522.6,6.71,668790,250473,2.6701,16,2026-08-14
57,BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,613.3,-0.58,282263,107880,2.6165,16,2026-08-14
58,GREENPANEL.NS,Greenpanel Industries Ltd.,Consumer Durables,174.54,1.61,501546,192159,2.6101,16,2026-08-14
59,TI.NS,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,568.75,2.72,3914143,1534568,2.5506,16,2026-08-14
60,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,2485.0,-0.58,1564233,620093,2.5226,16,2026-08-14
61,MIDHANI.NS,Mishra Dhatu Nigam Ltd.,Capital Goods,416.7,-6.33,4346636,1743338,2.4933,16,2026-08-14
62,TATAPOWER.NS,Tata Power Co. Ltd.,Power,382.05,-0.2,8184959,3360894,2.4354,16,2026-08-14
63,SANSERA.NS,Sansera Engineering Ltd.,Automobile and Auto Components,3924.6,3.66,687986,284592,2.4174,16,2026-08-14
64,DATAMATICS.NS,Datamatics Global Services Ltd.,Information Technology,866.25,0.53,279870,118509,2.3616,16,2026-08-14
65,MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,1008.6,-0.46,4051534,1758189,2.3044,16,2026-08-14
66,RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare,1461.8,0.61,230835,102527,2.2515,16,2026-08-14
