Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,WESTLIFE.NS,Westlife Foodworld Ltd.,Consumer Services,512.55,13.87,1866980,54389,34.3264,16,2026-07-21
2,KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services,340.3,13.06,83895323,2882223,29.1079,16,2026-07-21
3,RELINFRA.NS,Reliance Infrastructure Ltd.,Power,63.19,-4.89,2332100,89856,25.9537,16,2026-07-20
4,ACE.NS,Action Construction Equipment Ltd.,Capital Goods,1035.5,4.43,5916872,306698,19.2922,16,2026-07-21
5,JINDWORLD.NS,Jindal Worldwide Ltd.,Textiles,37.64,19.3,100806167,7819485,12.8917,16,2026-07-21
6,STYRENIX.NS,Styrenix Performance Materials Ltd.,Chemicals,2452.9,3.71,382650,33055,11.5762,16,2026-07-21
7,SOBHA.NS,Sobha Ltd.,Realty,1456.3,0.04,2603528,235405,11.0598,16,2026-07-21
8,RALLIS.NS,Rallis India Ltd.,Chemicals,228.62,-4.69,10541996,986963,10.6812,16,2026-07-21
9,ARVINDFASN.NS,Arvind Fashions Ltd.,Consumer Services,471.05,-0.78,2538662,261626,9.7034,16,2026-07-21
10,BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals,4351.4,2.12,249377,40395,6.1735,16,2026-07-21
11,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,349.85,8.46,20219215,3351990,6.032,16,2026-07-21
12,EPIGRAL.NS,Epigral Ltd.,Chemicals,1164.2,7.48,575655,97320,5.9151,16,2026-07-21
13,KIRLPNU.NS,Kirloskar Pneumatic Company Ltd.,Capital Goods,1616.1,-6.06,915448,157129,5.8261,16,2026-07-21
14,UBL.NS,United Breweries Ltd.,Fast Moving Consumer Goods,1404.4,3.96,535606,98117,5.4589,16,2026-07-21
15,NHPC.NS,NHPC Ltd.,Power,80.31,-0.85,58279589,11403354,5.1107,16,2026-07-21
16,MANYAVAR.NS,Vedant Fashions Ltd.,Consumer Services,417.05,0.75,944828,187362,5.0428,16,2026-07-21
17,ACI.NS,Archean Chemical Industries Ltd.,Chemicals,588.45,3.8,1416231,297486,4.7607,16,2026-07-21
18,GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods,591.0,-4.7,375180,83318,4.503,16,2026-07-21
19,JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power,17.75,5.09,217852999,48991219,4.4468,16,2026-07-21
20,IOB.NS,Indian Overseas Bank,Financial Services,35.25,0.71,19114966,4332716,4.4118,16,2026-07-21
21,AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services,558.55,1.2,1525667,356566,4.2788,16,2026-07-21
22,BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,617.85,2.97,2962568,703748,4.2097,16,2026-07-21
23,FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Chemicals,4607.1,6.74,757290,182484,4.1499,16,2026-07-21
24,MTARTECH.NS,MTAR Technologies Ltd.,Capital Goods,5573.5,-2.97,656406,160373,4.093,16,2026-07-21
25,GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components,1488.5,6.47,2658838,659810,4.0297,16,2026-07-21
26,JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials,5658.0,3.76,297045,76936,3.8609,16,2026-07-21
27,ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,12094.0,1.6,830837,229060,3.6272,16,2026-07-21
28,MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services,351.75,4.35,12012998,3374857,3.5596,16,2026-07-21
29,BASF.NS,BASF India Ltd.,Chemicals,3833.7,3.99,57076,16288,3.5042,16,2026-07-21
30,ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,1043.1,-6.75,873488,252253,3.4627,16,2026-07-21
31,TEAMLEASE.NS,Teamlease Services Ltd.,Services,1325.4,-4.12,115975,35375,3.2784,16,2026-07-21
32,PAYTM.NS,One 97 Communications Ltd.,Financial Services,1300.5,-3.49,10473516,3312869,3.1615,16,2026-07-21
33,INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services,1918.0,-0.77,252893,82354,3.0708,16,2026-07-21
34,PRSMJOHNSN.NS,Prism Johnson Ltd.,Construction Materials,112.75,2.72,345685,113644,3.0418,16,2026-07-21
35,INDIACEM.NS,India Cements Ltd.,Construction Materials,405.2,3.24,1132602,376897,3.0051,16,2026-07-21
36,TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,3792.0,5.62,2390959,815156,2.9331,16,2026-07-21
37,DIACABS.NS,Diamond Power Infrastructure Ltd.,Capital Goods,269.07,10.0,20782441,7551925,2.7519,16,2026-07-21
38,BECTORFOOD.NS,Mrs. Bectors Food Specialities Ltd.,Fast Moving Consumer Goods,211.3,0.58,39874910,14591566,2.7327,16,2026-07-21
39,GRANULES.NS,Granules India Ltd.,Healthcare,875.7,-0.05,3141269,1294106,2.4274,16,2026-07-21
