Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
1,ZYDUSWELL.NS,Zydus Wellness Ltd.,Fast Moving Consumer Goods,555.35,4.45,7627232,232728,32.7732,16,2026-09-07
2,IONEXCHANG.NS,Ion Exchange (India) Ltd.,Utilities,439.1,7.31,4900705,287837,17.026,16,2026-09-07
3,HIKAL.NS,Hikal Ltd.,Healthcare,243.0,9.31,31082863,1856808,16.7399,16,2026-09-07
4,SYRMA.NS,Syrma SGS Technology Ltd.,Capital Goods,1634.8,12.18,13076470,908116,14.3996,16,2026-09-07
5,PCJEWELLER.NS,PC Jeweller Ltd.,Consumer Durables,13.93,17.45,2196154133,308559118,7.1175,16,2026-09-07
6,PVRINOX.NS,PVR INOX Ltd.,Media Entertainment & Publication,1156.5,-5.76,3208260,520961,6.1583,16,2026-09-07
7,JKPAPER.NS,JK Paper Ltd.,Forest Materials,420.05,3.51,2616484,441831,5.9219,16,2026-09-07
8,GMMPFAUDLR.NS,GMM Pfaudler Ltd.,Capital Goods,1235.7,7.65,1280834,219634,5.8317,16,2026-09-07
9,WOCKPHARMA.NS,Wockhardt Ltd.,Healthcare,2208.0,5.71,4315034,829912,5.1994,16,2026-09-07
10,SUPRIYA.NS,Supriya Lifescience Ltd.,Healthcare,909.1,6.6,1225643,258599,4.7396,16,2026-09-07
11,STAR.NS,Strides Pharma Science Ltd.,Healthcare,1178.8,11.25,2617100,564126,4.6392,16,2026-09-07
12,GRWRHITECH.NS,Garware Hi-Tech Films Ltd.,Capital Goods,6951.5,-1.91,248466,55096,4.5097,16,2026-09-07
13,TEXRAIL.NS,Texmaco Rail & Eng. Ltd.,Capital Goods,119.46,2.99,9206954,2175101,4.2329,16,2026-09-07
14,JISLJALEQS.NS,Jain Irrigation Systems Ltd.,Capital Goods,32.51,5.31,17971534,4719405,3.808,16,2026-09-07
15,JAMNAAUTO.NS,Jamna Auto Industries Ltd.,Automobile and Auto Components,126.61,4.91,3705383,1017636,3.6412,16,2026-09-07
16,TEGA.NS,Tega Industries Ltd.,Capital Goods,1603.5,3.59,634673,182033,3.4866,16,2026-09-07
17,V2RETAIL.NS,V2 Retail Ltd.,Consumer Services,222.42,2.73,3160002,930578,3.3957,16,2026-09-07
18,EDELWEISS.NS,Edelweiss Financial Services Ltd.,Financial Services,132.72,-2.47,21562610,6713082,3.212,16,2026-09-07
19,TARC.NS,TARC Ltd.,Realty,134.9,6.23,2059493,643834,3.1988,16,2026-09-07
20,JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power,16.79,3.07,91405917,28654177,3.19,16,2026-09-07
21,RVNL.NS,Rail Vikas Nigam Ltd.,Construction,210.05,-1.15,12196802,4075351,2.9928,16,2026-09-07
22,JINDWORLD.NS,Jindal Worldwide Ltd.,Textiles,58.52,1.76,93829693,31537417,2.9752,16,2026-09-07
23,STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services,565.95,1.54,776025,267130,2.905,16,2026-09-07
24,AVALON.NS,Avalon Technologies Ltd.,Capital Goods,2352.5,7.1,1652695,573281,2.8829,16,2026-09-07
25,CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services,3179.9,5.99,1233149,436411,2.8257,16,2026-09-07
26,SKIPPER.NS,Skipper Ltd.,Capital Goods,604.4,2.25,4276802,1553177,2.7536,16,2026-09-07
27,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,53.21,0.45,10430586,3968826,2.6281,16,2026-09-07
28,NESCO.NS,NESCO Ltd.,Services,1076.0,2.71,114447,43941,2.6046,16,2026-09-07
29,NIACL.NS,The New India Assurance Company Ltd.,Financial Services,231.2,0.56,23438467,9356498,2.505,16,2026-09-07
30,JAIBALAJI.NS,Jai Balaji Industries Ltd.,Metals & Mining,69.71,-0.03,2563416,1027605,2.4946,16,2026-09-07
31,SAMHI.NS,Samhi Hotels Ltd.,Consumer Services,155.77,1.16,1636851,658548,2.4855,16,2026-09-07
32,TITAGARH.NS,Titagarh Rail Systems Ltd.,Capital Goods,896.45,2.82,1382428,557457,2.4799,16,2026-09-07
33,KEI.NS,KEI Industries Ltd.,Capital Goods,4704.0,-3.01,1220020,501271,2.4339,16,2026-09-07
34,HOMEFIRST.NS,Home First Finance Company India Ltd.,Financial Services,1233.7,1.95,315749,130888,2.4124,16,2026-09-07
35,CUB.NS,City Union Bank Ltd.,Financial Services,238.48,1.05,6585662,2770420,2.3771,16,2026-09-07
36,MAHSEAMLES.NS,Maharashtra Seamless Ltd.,Capital Goods,688.95,0.12,911776,395793,2.3037,16,2026-09-07
37,NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials,345.1,-2.0,863214,384688,2.2439,16,2026-09-07
38,BIRLACORPN.NS,Birla Corporation Ltd.,Construction Materials,868.15,-2.16,86068,38425,2.2399,16,2026-09-07
39,IIFLCAPS.NS,IIFL Capital Services Ltd.,Financial Services,340.45,-0.22,565823,267241,2.1173,16,2026-09-07
40,MSTCLTD.NS,MSTC Ltd.,Services,785.65,7.01,1015931,480667,2.1136,16,2026-09-07
