Symbol,Company Name,Sector
BHARTIARTL.NS,Bharti Airtel Ltd,Telecom
BHARTIHEXA.NS,Bharti Hexacom Ltd,Telecom
BIKAJI.NS,Bikaji Foods International Ltd,FMCG
BIOCON.NS,Biocon Ltd,Pharma
BIRLACORPN.NS,Birla Corporation Ltd,Cement
BSOFT.NS,Birlasoft Ltd,Technology
BLACKBUCK.NS,Zinka Logistics Solutions Ltd,Technology
BLUEDART.NS,Blue Dart Express Ltd,Logistics
BLUEJET.NS,BLUEJET,Other
BLUESTARCO.NS,Blue Star Ltd,Capital Goods
BBTC.NS,BBTC,Other
BORORENEW.NS,BORORENEW,Other
BOSCH-HCIL.NS,BOSCH-HCIL,Other
BOSCHLTD.NS,Bosch Ltd,Auto Ancillary
FIRSTCRY.NS,Brainbees Solutions Ltd,Retail
BRIGADE.NS,Brigade Enterprises Ltd,Real Estate
BRITANNIA.NS,Britannia Industries Ltd,FMCG
MAPMYINDIA.NS,C E Info Systems Ltd,Technology
CCL.NS,CCL Products India Ltd,FMCG
CESC.NS,CESC Ltd,Energy
CGPOWER.NS,CGPOWER,Other
CIEINDIA.NS,CIEINDIA,Other
CMSINFO.NS,CMSINFO,Other
CRISIL.NS,CRISIL Ltd,Finance
CSBBANK.NS,CSBBANK,Other
CAMPUS.NS,Campus Activewear Ltd,Retail
CANFINHOME.NS,Can Fin Homes Ltd,Finance
CANBK.NS,CANBK,Other
CAPLIPOINT.NS,CAPLIPOINT,Other
CGCL.NS,CGCL,Other
CARBORUNIV.NS,CARBORUNIV,Other
CARTRADE.NS,CarTrade Tech Ltd,Technology
CASTROLIND.NS,Castrol India Ltd,Energy
CEATLTD.NS,CEAT Ltd,Auto Ancillary
CEIGALL.NS,CEIGALL,Other
CELLO.NS,CELLO,Other
CEMPRO.NS,CEMPRO,Other
CENTRALBK.NS,CENTRALBK,Other
CDSL.NS,Central Depository Services India Ltd,Finance
CENTURYPLY.NS,Century Plyboards India Ltd,Construction Materials
CERA.NS,CERA,Other
CHALET.NS,Chalet Hotels Ltd,Hospitality
CHAMBLFERT.NS,CHAMBLFERT,Other
CHENNPETRO.NS,CHENNPETRO,Other
CHOICEIN.NS,CHOICEIN,Other
CHOLAHLDNG.NS,CHOLAHLDNG,Other
CHOLAFIN.NS,Cholamandalam Investment and Finance Co,Finance
CIGNITITEC.NS,CIGNITITEC,Other
CIPLA.NS,Cipla Ltd,Pharma
CUB.NS,CUB,Other
CLEAN.NS,Clean Science and Technology Ltd,Chemicals
COALINDIA.NS,COALINDIA,Other
COCHINSHIP.NS,Cochin Shipyard Ltd,Defence
COFORGE.NS,Coforge Ltd,Technology
COHANCE.NS,COHANCE,Other
COLPAL.NS,Colgate-Palmolive India Ltd,FMCG
CAMS.NS,Computer Age Management Services Ltd,Finance
CONCORDBIO.NS,CONCORDBIO,Other
CONCOR.NS,Container Corporation of India Ltd,Infrastructure
COROMANDEL.NS,COROMANDEL,Other
CRAFTSMAN.NS,Craftsman Automation Ltd,Auto Ancillary
CREDITACC.NS,CreditAccess Grameen Ltd,Finance
CROMPTON.NS,CROMPTON,Other
CUMMINSIND.NS,Cummins India Ltd,Capital Goods
CYIENTDLM.NS,CYIENTDLM,Other
CYIENT.NS,Cyient Ltd,Technology
DCBBANK.NS,DCBBANK,Other
DCMSHRIRAM.NS,DCMSHRIRAM,Other
DLF.NS,DLF Ltd,Real Estate
DOMS.NS,DOMS,Other
DABUR.NS,Dabur India Ltd,FMCG
DALBHARAT.NS,DALBHARAT,Other
DATAPATTNS.NS,DATAPATTNS,Other
DATAMATICS.NS,Datamatics Global Services Ltd,Technology
DEEPAKFERT.NS,DEEPAKFERT,Other
DEEPAKNTR.NS,Deepak Nitrite Ltd,Chemicals
DELHIVERY.NS,Delhivery Ltd,Logistics
DEVYANI.NS,DEVYANI,Other
DHANUKA.NS,Dhanuka Agritech Ltd,Agriculture
DIACABS.NS,DIACABS,Other
DBL.NS,DBL,Other
DCAL.NS,DCAL,Other
DIVISLAB.NS,Divi's Laboratories Ltd,Pharma
DIXON.NS,Dixon Technologies India Ltd,Capital Goods
DODLA.NS,DODLA,Other
AGARWALEYE.NS,AGARWALEYE,Other
LALPATHLAB.NS,Dr Lal PathLabs Ltd,Healthcare
DRREDDY.NS,Dr Reddy's Laboratories Ltd,Pharma
DUMMYALCAR.NS,DUMMYALCAR,Other
DYNAMATECH.NS,DYNAMATECH,Other
EIDPARRY.NS,EIDPARRY,Other
EIHOTEL.NS,EIH Ltd,Hospitality
EPL.NS,EPL,Other
EASEMYTRIP.NS,EASEMYTRIP,Other
EDELWEISS.NS,EDELWEISS,Other
EICHERMOT.NS,Eicher Motors Ltd,Automobile
ELECON.NS,ELECON,Other
EMIL.NS,EMIL,Other
ELECTCAST.NS,ELECTCAST,Other
ELGIEQUIP.NS,ELGIEQUIP,Other
EMAMILTD.NS,Emami Ltd,FMCG
EMBDL.NS,Emb Decoration Ltd,Capital Goods
EMCURE.NS,EMCURE,Other
ENDURANCE.NS,Endurance Technologies Ltd,Auto Ancillary
ENGINERSIN.NS,ENGINERSIN,Other
ENTERO.NS,ENTERO,Other
EIEL.NS,EIEL,Other
EPIGRAL.NS,EPIGRAL,Other
EQUITASBNK.NS,Equitas Small Finance Bank Ltd,Banking
